factor;gender;age;mother;chinese;score
0;m;22;polish;0;7
0;m;23;polish;0;13
1;m;23;polish;0;11
1;m;22;polish;0;5
1;m;23;polish;0;15
1;f;22;polish;0;15
1;m;22;polish;0;15
1;m;23;polish;0;13
1;m;22;polish;0;15
1;m;22;polish;0;13
0;m;23;polish;0;13
1;f;22;polish;0;8
1;m;23;polish;0;10
0;m;23;polish;0;11
0;m;22;polish;0;9
0;m;22;polish;0;15
1;m;22;polish;0;15
1;m;22;polish;0;15
0;f;21;polish;0;15
1;f;23;polish;0;15
1;f;22;polish;0;11
1;m;21;polish;0;12
1;m;22;polish;0;13
1;m;22;polish;0;9
0;f;21;polish;0;11
0;m;21;polish;0;11
1;m;21;polish;0;15
0;f;22;polish;0;8
0;m;22;polish;0;11
0;m;21;polish;0;15
1;m;22;polish;0;15
0;f;22;polish;0;11
0;m;24;polish;0;13
1;m;21;polish;0;8
0;f;20;polish;0;11
0;m;20;polish;0;15
1;m;20;polish;0;15
1;m;20;polish;0;13
1;m;21;polish;0;9
0;f;20;polish;0;11
1;m;21;polish;0;10
0;m;22;polish;0;7
0;m;21;polish;0;13
1;m;26;polish;0;15
1;m;22;polish;0;11
0;m;22;polish;0;6
1;m;22;polish;0;12
1;f;20;polish;0;13
1;m;21;polish;0;11
1;m;20;polish;0;13
1;m;21;polish;0;13
0;m;20;polish;0;11
0;m;20;polish;0;10
0;m;20;polish;0;7
1;m;20;polish;0;13
1;f;21;polish;0;13
1;m;20;polish;0;15
0;m;22;polish;0;9
0;f;20;polish;0;15
0;m;22;polish;0;15
0;m;22;polish;0;15
1;m;22;polish;0;13
0;m;20;polish;0;4
0;m;21;polish;0;13
1;m;21;polish;0;5
0;m;22;polish;0;9
1;m;21;polish;0;11
0;m;21;polish;0;8
1;m;22;polish;0;15
1;m;22;polish;0;15
0;m;23;polish;0;15
0;f;23;polish;0;15
0;f;23;polish;0;13
1;m;23;polish;0;12
1;m;24;polish;0;9
1;m;22;polish;0;8
0;m;22;polish;0;10
0;m;22;polish;0;11
0;m;21;polish;0;15
0;m;22;polish;0;8
0;f;22;polish;0;13
0;f;22;polish;0;12
1;m;21;polish;0;15
1;m;23;polish;0;11
0;m;22;polish;0;7
0;m;22;polish;0;15
0;m;22;polish;0;15
0;m;22;polish;0;13
0;m;23;polish;0;15
1;m;21;polish;0;15
0;m;22;polish;0;12
1;m;22;polish;0;12
0;m;22;polish;0;15
1;f;22;polish;0;11
0;m;22;polish;0;15
