Q1,Q2,Q3,Q4,Q5,Q6,factor,social_presence
4,2,2,1,4,,0,11
4,5,5,5,5,,0,16
2,3,3,4,5,,0,15
2,3,3,3,4,,0,13
5,4,4,4,4,,0,14
4,4,2,4,3,,0,15
8,4,4,4,4,,0,14
4,4,1,5,1,,0,15
6,3,2,1,3,,0,11
6,3,2,3,4,,0,14
5,4,3,4,4,,0,15
1,3,2,4,4,,0,15
2,3,2,4,4,,0,15
6,4,3,4,4,,0,15
9,5,5,5,5,,0,16
5,5,4,4,4,,0,15
7,5,4,4,4,,0,15
4,4,3,5,4,,0,16
5,4,3,4,4,,0,15
6,5,1,4,4,,0,18
7,4,4,3,4,,0,13
7,4,3,2,2,,0,11
6,4,2,3,3,,0,14
8,4,4,4,4,,0,14
8,5,1,5,5,,0,20
7,5,1,3,4,,0,17
8,5,2,4,5,,0,18
8,3,2,1,3,,0,11
4,5,2,3,5,,0,17
5,4,4,4,4,,0,14
7,5,1,4,5,,0,19
5,3,4,4,4,,0,13
6,4,2,4,4,,0,16
3,4,2,3,3,,0,14
6,4,4,4,4,,0,14
7,4,4,3,4,,0,13
6,4,2,3,3,,0,14
2,4,3,3,4,,0,14
6,3,3,2,3,,0,11
9,5,5,5,5,frustrating,1,16
5,4,1,4,4,useful;helpful;engaging,1,17
5,4,4,3,3,helpful,1,12
7,4,3,3,4,useful;helpful;engaging,1,14
7,4,4,3,3,helpful,1,12
5,4,2,4,3,distracting,1,15
7,5,4,3,4,helpful,1,14
4,5,2,4,4,helpful,1,17
6,4,3,4,2,useful;helpful,1,13
7,4,2,3,4,,1,15
6,4,1,3,5,helpful;engaging,1,17
4,5,1,4,4,helpful,1,18
6,4,3,4,2,engaging;distracting,1,13
4,4,4,4,5,useful,1,15
7,4,3,2,2,useful,1,11
6,5,2,3,3,distracting,1,15
6,4,4,4,4,helpful,1,14
6,5,2,4,5,useful;helpful;engaging,1,18
5,4,3,2,4,helpful,1,13
9,4,3,4,4,helpful,1,15
5,3,4,2,3,useful;helpful,1,10
7,4,1,5,4,useful;helpful,1,18
4,4,4,3,2,engaging,1,11
6,4,3,2,2,helpful,1,11
6,5,1,5,5,useful,1,20
5,4,4,2,2,engaging,1,10
6,3,4,2,5,helpful;engaging,1,12
7,4,2,4,4,helpful;engaging,1,16
6,4,3,4,3,useful;helpful,1,14
8,5,3,3,3,useful;helpful,1,14
7,3,4,1,4,distracting;annoying;frustrating,1,10
4,2,4,3,4,useful;engaging,1,11
6,2,4,1,2,helpful;distracting,1,7
7,5,2,4,4,helpful,1,17
